r,g,b,phase
153,159,159,0
155,165,167,0
160,168,170,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
146,155,150,0
158,169,165,0
150,159,154,0
158,169,165,0
150,159,154,0
146,155,150,0
141,154,162,0
141,154,160,0
142,152,161,0
136,146,155,0
137,147,156,0
142,152,161,0
142,153,157,0
141,146,150,0
136,143,149,0
130,138,140,0
126,136,137,0
131,135,136,0
150,162,174,0
150,163,172,0
148,158,168,0
150,162,174,0
150,163,172,0
148,158,168,0
140,151,157,0
135,149,152,0
145,156,160,0
140,147,153,0
134,141,147,0
138,143,146,0
137,148,152,0
136,147,153,0
132,145,153,0
146,154,157,0
142,151,156,0
145,156,160,0
131,141,143,0
138,148,150,0
145,156,162,0
145,155,157,0
147,158,162,0
146,157,159,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
145,154,151,0
155,167,167,0
144,156,156,0
155,167,167,0
144,156,156,0
145,154,151,0
144,158,169,0
147,160,169,0
146,156,168,0
144,154,164,0
148,158,168,0
158,168,178,0
147,158,162,0
137,146,151,0
135,146,150,0
144,151,157,0
135,146,148,0
140,144,147,0
147,162,169,0
141,154,163,0
138,148,157,0
147,162,169,0
141,154,163,0
138,148,157,0
143,153,162,0
141,154,160,0
152,162,171,0
137,148,154,0
136,147,151,0
137,147,149,0
140,151,157,0
146,157,163,0
145,155,164,0
144,151,157,0
139,148,153,0
140,151,157,0
134,145,147,0
135,149,150,0
142,153,155,0
156,165,170,0
151,162,166,0
147,157,159,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
146,155,154,0
153,164,166,0
147,158,160,0
153,164,166,0
147,158,160,0
146,155,154,0
137,151,164,0
139,151,165,0
139,151,163,0
133,146,155,0
136,145,154,0
145,155,165,0
142,151,158,0
137,146,153,0
133,142,149,0
142,149,155,0
133,142,147,0
133,141,143,0
141,154,160,0
136,146,155,0
134,141,147,0
141,154,160,0
136,146,155,0
134,141,147,0
133,146,154,0
126,143,150,0
134,146,158,0
135,146,152,0
133,144,150,0
136,147,153,0
123,138,143,0
123,136,142,0
130,141,147,0
143,152,157,0
143,150,156,0
145,156,162,0
141,152,156,0
144,159,162,0
146,157,161,0
