r,g,b,phase
145,162,178,0
139,160,181,0
136,158,172,0
143,159,184,0
143,160,180,0
140,161,178,0
143,159,184,0
143,160,180,0
140,161,178,0
142,159,167,0
148,162,173,0
149,159,169,0
154,164,166,0
156,168,168,0
153,164,168,0
149,164,167,0
153,167,176,0
144,161,169,0
144,151,157,0
144,157,165,0
151,160,167,0
146,155,160,0
152,161,166,0
154,161,169,0
153,164,170,0
143,159,172,0
146,158,170,0
150,166,179,0
149,165,178,0
144,160,173,0
142,160,180,0
145,164,181,0
145,162,180,0
153,162,171,0
152,162,171,0
153,163,172,0
150,161,165,0
150,160,162,0
143,150,158,0
156,163,169,0
152,159,165,0
153,156,161,0
146,160,163,0
146,161,168,0
149,164,171,0
148,157,162,0
144,155,161,0
150,163,171,0
149,163,166,0
152,163,165,0
154,165,169,0
160,170,172,0
159,167,169,0
154,163,162,0
164,168,167,0
158,164,164,0
157,158,160,0
142,153,157,0
141,158,166,0
147,161,172,0
137,155,175,0
137,158,177,0
136,157,176,0
148,166,178,0
149,166,173,0
142,155,163,0
160,162,159,0
149,153,154,0
149,151,146,0
163,165,164,0
158,167,166,0
160,164,163,0
158,167,166,0
148,157,156,0
146,155,154,0
143,161,175,0
143,159,174,0
144,158,169,0
146,157,159,0
159,168,173,0
152,160,163,0
156,165,162,0
148,154,154,0
142,147,143,0
166,168,163,0
150,156,152,0
155,160,154,0
156,160,161,0
150,156,154,0
159,163,162,0
139,156,172,0
142,156,169,0
147,156,165,0
143,156,172,0
142,159,166,0
144,155,159,0
138,150,148,0
148,158,159,0
150,162,160,0
154,163,160,0
160,169,168,0
152,161,158,0
142,161,178,0
141,159,179,0
138,159,176,0
143,161,181,0
142,160,180,0
140,161,182,0
143,161,181,0
142,160,180,0
140,161,182,0
150,167,175,0
150,163,172,0
154,165,171,0
165,176,180,0
157,171,174,0
160,171,177,0
150,165,168,0
149,162,171,0
143,157,168,0
152,157,163,0
147,160,168,0
149,158,167,0
147,156,163,0
156,165,172,0
151,160,167,0
151,166,173,0
143,159,172,0
141,157,170,0
148,163,182,0
144,162,174,0
146,165,179,0
140,158,180,0
143,161,181,0
144,161,181,0
161,169,180,0
153,163,173,0
155,165,175,0
154,165,169,0
155,164,169,0
157,164,174,0
152,163,167,0
149,160,166,0
150,157,163,0
148,161,169,0
145,160,167,0
149,163,174,0
147,158,160,0
146,161,164,0
156,170,173,0
147,161,162,0
156,167,169,0
156,167,173,0
156,164,167,0
163,171,174,0
154,162,164,0
162,171,170,0
161,171,170,0
159,168,167,0
151,162,168,0
145,162,170,0
152,166,177,0
138,156,176,0
138,159,178,0
137,160,178,0
144,161,169,0
146,161,166,0
153,159,151,0
157,159,158,0
155,159,160,0
154,156,153,0
160,164,167,0
153,162,161,0
157,161,160,0
153,162,161,0
150,158,160,0
150,158,160,0
148,164,177,0
147,160,177,0
144,156,170,0
148,159,163,0
151,162,168,0
151,158,164,0
148,157,156,0
146,155,154,0
143,152,151,0
163,165,164,0
158,167,166,0
160,164,163,0
157,166,163,0
159,165,163,0
165,171,171,0
139,156,174,0
144,156,170,0
144,153,160,0
139,155,170,0
138,155,163,0
143,157,160,0
146,160,161,0
150,164,167,0
152,166,167,0
154,160,158,0
152,157,160,0
152,158,156,0
143,160,178,0
142,160,180,0
143,161,181,0
142,160,180,0
142,160,182,0
139,159,183,0
142,160,180,0
142,160,182,0
139,159,183,0
158,172,181,0
159,169,178,0
157,166,171,0
153,164,170,0
162,173,179,0
160,169,174,0
142,158,158,0
148,161,167,0
144,159,166,0
148,155,161,0
147,161,170,0
148,155,165,0
145,154,161,0
150,159,166,0
152,163,169,0
146,163,170,0
143,159,172,0
140,156,169,0
145,160,181,0
143,160,176,0
143,162,177,0
137,156,173,0
141,159,181,0
141,159,181,0
150,160,170,0
151,161,171,0
146,156,168,0
147,161,164,0
151,165,166,0
156,165,170,0
154,165,171,0
154,163,172,0
151,158,166,0
148,161,169,0
148,165,172,0
145,159,170,0
150,161,163,0
153,168,171,0
154,165,169,0
154,165,167,0
152,161,166,0
152,161,168,0
152,160,163,0
150,158,160,0
141,150,147,0
159,167,169,0
153,163,164,0
153,163,164,0
146,159,167,0
148,163,168,0
148,161,169,0
141,157,180,0
142,160,180,0
139,160,179,0
144,157,165,0
147,161,164,0
159,162,160,0
153,155,154,0
150,152,151,0
154,154,154,0
155,159,162,0
152,158,158,0
148,152,151,0
147,158,154,0
144,155,151,0
150,160,161,0
145,161,174,0
146,159,175,0
146,155,170,0
144,158,161,0
147,156,161,0
141,149,151,0
150,158,160,0
150,158,160,0
151,157,157,0
160,164,167,0
153,162,161,0
157,161,160,0
148,157,154,0
148,154,152,0
149,155,155,0
137,154,172,0
139,151,163,0
140,147,153,0
139,155,170,0
141,157,170,0
145,158,164,0
146,161,168,0
142,159,166,0
147,165,169,0
149,155,153,0
152,158,158,0
151,155,154,0
