r,g,b,phase
94,104,106,1
99,109,111,1
103,111,114,1
99,103,102,1
97,103,101,1
98,104,102,1
95,102,95,1
88,94,92,1
104,110,110,1
100,109,108,1
95,101,99,1
89,94,90,1
96,101,94,1
91,98,90,1
95,102,95,1
100,110,111,1
93,102,99,1
97,107,106,1
109,114,118,1
110,113,118,1
112,121,126,1
100,110,111,1
93,102,99,1
97,107,106,1
97,104,96,1
93,98,91,1
93,104,90,1
97,104,96,1
93,98,91,1
93,104,90,1
97,104,96,1
93,98,91,1
93,104,90,1
97,104,96,1
93,98,91,1
93,104,90,1
97,104,96,1
93,98,91,1
93,104,90,1
97,104,96,1
93,98,91,1
93,104,90,1
98,106,91,1
96,100,85,1
95,106,90,1
97,108,112,1
92,102,103,1
95,104,103,1
81,90,87,1
82,91,90,1
98,106,109,1
119,123,124,1
103,105,102,1
99,104,100,1
101,107,95,1
94,96,85,1
101,103,92,1
101,107,95,1
94,96,85,1
101,103,92,1
89,94,87,1
100,102,91,1
105,102,95,1
93,98,92,1
91,95,94,1
98,102,101,1
101,101,103,1
100,100,98,1
99,100,94,1
116,118,113,1
97,103,93,1
95,100,93,1
114,117,110,1
107,109,98,1
111,114,103,1
90,96,92,1
86,91,84,1
95,101,101,1
91,96,92,1
101,106,100,1
112,117,110,1
95,100,94,1
96,101,94,1
101,104,95,1
99,103,104,1
94,98,97,1
97,103,101,1
99,104,100,1
101,104,97,1
103,104,98,1
91,102,88,1
91,101,90,1
102,112,101,1
94,104,105,1
102,108,106,1
98,108,100,1
97,106,103,1
89,98,97,1
94,100,100,1
103,107,108,1
101,103,102,1
106,106,104,1
89,97,99,1
84,93,92,1
93,98,101,1
99,110,114,1
99,107,109,1
96,110,111,1
89,98,97,1
89,97,99,1
95,99,102,1
98,100,99,1
95,101,99,1
103,107,106,1
90,97,90,1
92,97,93,1
103,109,107,1
107,113,111,1
94,99,95,1
92,94,89,1
88,94,84,1
82,90,79,1
91,98,91,1
89,98,97,1
87,93,91,1
87,96,93,1
95,99,100,1
97,101,104,1
95,104,103,1
89,98,97,1
87,93,91,1
87,96,93,1
98,106,91,1
96,100,85,1
95,106,90,1
98,106,91,1
96,100,85,1
95,106,90,1
98,106,91,1
96,100,85,1
95,106,90,1
98,106,91,1
96,100,85,1
95,106,90,1
98,106,91,1
96,100,85,1
95,106,90,1
98,106,91,1
96,100,85,1
95,106,90,1
100,109,92,1
98,102,85,1
97,106,89,1
89,99,101,1
87,96,95,1
93,101,103,1
81,90,85,1
89,95,91,1
94,103,102,1
114,119,115,1
99,101,98,1
101,106,102,1
102,106,91,1
96,97,83,1
100,101,87,1
102,106,91,1
96,97,83,1
100,101,87,1
93,98,92,1
98,99,91,1
106,105,100,1
98,105,98,1
91,98,91,1
92,98,96,1
100,100,100,1
89,94,87,1
100,102,91,1
106,108,103,1
99,105,95,1
98,104,94,1
96,97,91,1
99,99,87,1
95,97,84,1
88,93,89,1
87,89,84,1
93,102,97,1
89,94,90,1
100,102,99,1
104,107,100,1
94,99,93,1
94,99,92,1
101,104,97,1
100,100,100,1
91,93,88,1
93,98,94,1
102,105,98,1
92,97,90,1
99,100,94,1
91,97,85,1
89,97,86,1
101,111,100,1
98,107,106,1
94,99,95,1
95,102,94,1
104,110,108,1
91,100,97,1
109,113,112,1
98,100,99,1
104,107,100,1
106,107,99,1
86,92,90,1
85,91,89,1
90,96,94,1
88,98,100,1
90,96,96,1
92,104,104,1
95,101,99,1
95,104,101,1
96,100,101,1
97,99,96,1
103,108,104,1
110,112,109,1
100,106,96,1
95,100,94,1
113,118,114,1
112,118,114,1
105,110,104,1
93,96,89,1
92,99,91,1
92,97,90,1
97,107,99,1
97,106,103,1
91,97,97,1
97,103,101,1
91,95,96,1
90,91,93,1
90,99,98,1
97,106,103,1
91,97,97,1
97,103,101,1
100,109,92,1
98,102,85,1
97,106,89,1
100,109,92,1
98,102,85,1
97,106,89,1
100,109,92,1
98,102,85,1
97,106,89,1
100,109,92,1
98,102,85,1
97,106,89,1
100,109,92,1
98,102,85,1
97,106,89,1
100,109,92,1
98,102,85,1
97,106,89,1
104,110,96,1
99,102,83,1
102,111,94,1
92,100,103,1
92,101,100,1
97,107,108,1
98,104,100,1
99,105,103,1
109,115,115,1
97,101,100,1
99,101,98,1
99,101,98,1
108,112,98,1
106,106,94,1
110,110,98,1
108,112,98,1
106,106,94,1
110,110,98,1
102,109,102,1
111,116,112,1
118,120,119,1
101,107,103,1
93,104,98,1
97,106,105,1
98,98,100,1
93,98,92,1
98,99,91,1
107,114,107,1
102,108,98,1
105,113,102,1
111,117,107,1
103,104,90,1
104,104,94,1
93,99,97,1
90,94,93,1
98,107,104,1
103,105,102,1
102,102,100,1
119,121,120,1
100,107,100,1
101,103,98,1
101,108,101,1
101,101,99,1
93,95,90,1
90,92,87,1
106,107,102,1
94,99,93,1
99,98,94,1
97,103,91,1
101,108,100,1
115,122,114,1
101,110,105,1
95,102,95,1
96,101,95,1
105,111,109,1
93,102,99,1
108,112,111,1
99,99,99,1
103,104,96,1
105,105,95,1
95,99,98,1
86,92,88,1
91,97,95,1
92,101,100,1
95,101,101,1
97,107,108,1
