r,g,b,phase
97,108,110,1
101,116,121,1
117,127,136,1
119,125,123,1
104,104,102,1
102,107,101,1
96,106,97,1
111,119,108,1
121,126,120,1
119,122,115,1
121,127,117,1
131,136,129,1
131,136,129,1
118,121,112,1
126,128,123,1
116,121,114,1
115,121,111,1
132,134,129,1
138,140,135,1
119,124,117,1
111,118,110,1
121,122,117,1
112,113,108,1
118,124,114,1
109,119,120,1
92,101,100,1
109,117,120,1
135,143,146,1
148,157,162,1
148,161,167,1
117,123,121,1
117,122,118,1
123,127,128,1
115,119,118,1
123,129,129,1
124,129,132,1
144,152,155,1
124,128,129,1
102,111,106,1
130,132,129,1
120,125,119,1
110,115,111,1
127,132,126,1
113,118,112,1
126,126,124,1
116,122,122,1
120,131,127,1
120,126,124,1
94,100,100,1
83,92,91,1
97,105,108,1
103,107,108,1
93,93,95,1
96,97,99,1
118,123,117,1
109,115,103,1
110,117,109,1
91,97,97,1
98,108,107,1
106,115,122,1
112,116,115,1
102,100,101,1
98,100,95,1
104,115,109,1
117,124,117,1
128,133,129,1
112,117,111,1
119,126,118,1
129,134,128,1
126,133,126,1
109,115,103,1
118,125,117,1
121,126,119,1
116,118,113,1
133,135,130,1
156,158,155,1
127,132,126,1
109,116,109,1
124,127,120,1
120,121,116,1
126,131,125,1
97,103,103,1
92,98,103,1
100,105,108,1
120,129,128,1
126,134,136,1
127,136,141,1
116,121,124,1
116,122,122,1
115,124,123,1
107,109,108,1
104,108,107,1
107,111,112,1
141,151,153,1
129,133,134,1
107,116,115,1
128,134,130,1
111,121,113,1
108,113,109,1
126,131,125,1
106,111,105,1
124,129,125,1
115,121,119,1
116,125,122,1
119,128,123,1
91,96,99,1
82,90,92,1
83,90,96,1
105,111,111,1
95,97,96,1
104,105,107,1
129,134,128,1
113,118,112,1
116,121,115,1
90,94,93,1
87,96,93,1
98,103,109,1
117,121,122,1
100,102,99,1
105,105,103,1
107,118,112,1
116,122,118,1
128,133,129,1
113,118,112,1
114,119,112,1
126,128,123,1
123,128,122,1
109,115,103,1
111,118,110,1
115,121,111,1
113,118,112,1
125,130,126,1
142,147,141,1
120,127,120,1
111,118,111,1
125,127,122,1
120,120,118,1
125,130,126,1
104,110,108,1
105,106,108,1
111,115,116,1
98,104,102,1
108,112,113,1
106,114,116,1
121,126,130,1
118,123,126,1
120,128,130,1
122,126,125,1
124,128,129,1
126,130,133,1
137,149,149,1
122,131,130,1
99,108,107,1
125,130,126,1
114,120,118,1
113,118,114,1
123,128,124,1
108,113,109,1
125,129,128,1
127,133,131,1
129,138,135,1
127,136,131,1
103,113,114,1
93,102,107,1
102,109,115,1
105,113,116,1
101,107,105,1
106,110,113,1
134,138,137,1
113,118,114,1
117,122,118,1
